"Tilltalsnamn, de 100 vanligaste efter bärarnas födelseår efter tilltalsnamn och tid"

"tilltalsnamn","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"Caroline",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,10,11,..,12,..,..,..,11,17,19,29,34,36,61,76,70,73,109,113,131,185,163,195,183,154,152,217,278,274,301,365,420,517,549,658,643,715,741,704,897,957,921,919,972,1016,1149,1118,994,856,701,565,430,359,273,259,210,154,143,133,99,60,59,44,56,33,28,36,22,23,17,25,21,16
"Cecilia",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,14,12,..,12,14,12,24,24,28,40,43,52,40,49,70,77,74,98,111,113,154,135,154,193,176,251,242,359,398,450,541,604,636,736,610,727,822,898,873,843,782,689,615,539,565,608,558,522,478,589,559,533,467,593,488,491,446,427,367,306,231,198,178,149,147,132,129,107,85,87,68,79,67,56,61,56,45,46,45,46,37,24
"Charlotte",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,11,..,20,26,33,31,28,36,32,45,52,56,50,93,111,114,113,160,168,198,243,300,317,388,430,462,537,481,635,598,518,504,395,352,325,301,254,268,208,246,321,289,236,235,257,236,278,229,228,142,176,164,114,72,56,42,50,36,31,38,22,19,14,19,13,11,14,..,14,13,14,..,..,11,15,19
"Ebba",25,21,13,17,30,30,39,47,59,64,55,70,72,66,75,49,72,58,64,55,51,57,45,53,51,33,52,44,62,52,48,44,44,35,23,18,28,23,30,18,21,17,14,14,..,16,11,13,14,..,13,19,16,18,15,22,20,24,28,18,29,24,23,23,30,36,38,40,38,43,52,56,48,58,135,137,135,200,225,433,503,510,594,575,681,657,651,691,747,740,705,759,653,672,647,694,634,664,592,583,550
"Elin",30,26,16,15,23,32,35,46,48,68,53,69,53,63,54,64,72,69,51,53,51,57,58,49,53,39,56,60,57,56,45,42,48,43,40,19,26,21,22,21,22,16,..,15,20,16,10,10,19,15,21,20,25,28,51,79,106,166,279,286,349,346,482,609,626,708,677,825,932,937,952,1019,1167,1238,1348,1360,1350,1305,1238,1343,1149,1078,1016,1070,967,941,1061,1005,944,846,765,732,671,565,566,484,377,379,336,336,275
"Elisabeth",17,18,..,..,16,23,29,28,30,48,40,56,59,55,82,84,72,87,85,93,126,129,149,167,167,219,279,298,441,523,558,728,873,835,872,937,1068,1099,1013,1059,1008,974,942,1023,881,880,915,943,940,936,861,778,686,526,532,506,438,394,374,345,275,246,249,304,292,229,249,210,228,235,220,188,195,176,150,157,142,107,83,83,89,75,48,49,38,31,41,45,45,34,42,41,42,48,40,55,53,62,54,54,35
"Ella",13,12,11,11,19,30,46,36,61,71,82,88,97,94,95,82,74,71,80,91,94,59,86,72,56,52,61,56,44,49,38,44,28,36,37,25,25,20,13,15,17,14,10,12,17,..,..,..,..,..,..,..,..,..,11,..,..,..,..,..,..,12,15,..,10,18,15,13,..,..,18,20,19,29,40,35,39,53,78,69,112,130,210,202,267,402,584,694,774,794,757,880,840,796,711,722,680,708,575,615,599
"Ellen ",18,24,12,21,27,40,49,40,51,50,61,57,55,65,53,62,64,38,57,40,58,38,45,48,52,43,47,62,46,50,44,47,38,36,40,41,35,29,22,30,23,16,18,19,21,19,21,18,18,24,16,17,19,20,12,22,25,23,16,28,29,39,42,43,56,71,70,79,91,82,91,109,132,178,199,205,263,300,342,321,310,345,395,437,436,442,528,496,536,489,502,518,495,521,513,521,527,511,517,488,469
"Elsa",80,83,51,80,129,130,152,208,220,253,282,301,303,334,335,315,332,280,272,246,296,251,272,258,204,241,236,239,201,220,201,183,180,125,124,94,91,71,57,67,48,54,53,23,37,32,35,23,22,23,25,25,25,30,24,25,38,18,30,22,26,23,24,33,29,31,27,32,37,43,47,49,52,51,64,72,75,101,115,112,157,164,238,205,261,335,424,487,618,587,651,728,828,765,722,734,791,751,871,850,572
"Emelie",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,10,..,..,14,14,25,36,29,47,81,97,96,147,163,243,310,389,533,680,748,1126,1365,1988,1775,1635,1596,1334,1219,1207,1117,1034,899,850,721,681,600,567,536,519,492,438,416,368,354,325,250,256,250,198,230,189,152
